epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3916,2.43419,3.82417,2.20116,0,0,0,0,0,0,0,0.0702913,0.00330097,0.00330097
2,33.0603,2.28574,2.79433,2.13118,0,0,0,0,0,0,0,0.0400723,0.00641537,0.00641537
3,48.0108,2.19761,2.44488,2.05453,0,0,0,0,0,0,0,0.0096334,0.00930977,0.00930977
4,64.5484,2.12931,2.21621,2.00342,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
5,78.2495,2.03523,1.99319,1.90802,0,0,0,0,0,0,0,0.00868,0.00868,0.00868
6,91.7122,1.9873,1.86936,1.90393,0,0,0,0,0,0,0,0.00835,0.00835,0.00835
7,104.652,1.93277,1.76818,1.85044,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
8,118.994,1.91753,1.68248,1.83768,0,0,0,0,0,0,0,0.00769,0.00769,0.00769
9,134.306,1.88,1.60791,1.80609,0,0,0,0,0,0,0,0.00736,0.00736,0.00736
10,149.024,1.86138,1.55384,1.79439,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
11,164.265,1.81824,1.49273,1.75816,0,0,0,0,0,0,0,0.0067,0.0067,0.0067
12,179.058,1.80834,1.44596,1.75062,0,0,0,0,0,0,0,0.00637,0.00637,0.00637
13,192.462,1.76964,1.41516,1.72514,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
14,205.51,1.74881,1.3445,1.69969,0,0,0,0,0,0,0,0.00571,0.00571,0.00571
15,218.949,1.73318,1.31428,1.69535,0,0,0,0,0,0,0,0.00538,0.00538,0.00538
16,232.85,1.73225,1.32059,1.68875,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
17,246.32,1.69684,1.26506,1.67125,0,0,0,0,0,0,0,0.00472,0.00472,0.00472
18,260.033,1.70467,1.26347,1.66967,0,0,0,0,0,0,0,0.00439,0.00439,0.00439
19,273.6,1.6965,1.23516,1.65629,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
20,287.204,1.6579,1.1667,1.62384,0,0,0,0,0,0,0,0.00373,0.00373,0.00373
21,332.624,1.63838,1.0521,1.70306,0,0,0,0,0,0,0,0.0034,0.0034,0.0034
22,346.334,1.59401,0.97682,1.67138,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
23,359.691,1.57001,0.95416,1.65888,0,0,0,0,0,0,0,0.00274,0.00274,0.00274
24,373.074,1.5473,0.92419,1.64948,0,0,0,0,0,0,0,0.00241,0.00241,0.00241
25,387.733,1.53707,0.89532,1.63688,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
26,400.558,1.51801,0.88397,1.61793,0,0,0,0,0,0,0,0.00175,0.00175,0.00175
27,414.296,1.50879,0.87538,1.6111,0,0,0,0,0,0,0,0.00142,0.00142,0.00142
28,427.28,1.48497,0.85066,1.59978,0,0,0,0,0,0,0,0.00109,0.00109,0.00109
29,440.593,1.46672,0.83411,1.58661,0,0,0,0,0,0,0,0.00076,0.00076,0.00076
30,456.663,1.44777,0.8103,1.55948,0.87552,0.91127,0.92204,0.52236,1.52567,0.84614,1.66105,0.00043,0.00043,0.00043
